sequence,locale,year_month,between_lease_and_lease_deposit_ratio,lease_to_sale_ratio,monthly_rent_rate_of_return,average_lease_on_deposit_price,average_lease_on_deposit_price_per_unit,midian_lease_on_deposit_price,midian_lease_on_deposit_price_per_unit,average_monthly_rent_deposit,average_monthly_rent_price,midian_average_monthly_rent_deposit,midian_average_monthly_rent_price,average_sale_price,average_price_per_unit,midian_average_sale_price,midian_average_price_per_unit
700,province,2023-12,10.05,82.48,5.82,109277,2504,108743,2466,10554,513,8472,503,144489,3110,135211,2934
701,seoul,2023-12,7.1,83.99,4.44,205071,6169,196153,6071,15854,798,12873,763,259213,7419,242235,7196
702,seoul-downtown,2023-12,5.95,80.91,4.26,246460,6662,240343,6490,13950,983,13701,946,322655,8384,320063,8018
703,seoul-northeastern,2023-12,7.88,85.23,5.16,139317,4861,136380,4704,11088,628,11526,620,165455,5670,161988,5308
704,seoul-northwestern,2023-12,6.66,85.92,4.67,191949,6614,185043,6349,11926,793,11447,724,234942,7632,212366,7253
705,seoul-southwestern,2023-12,8.17,86.83,4.41,195019,5935,185821,5886,20151,706,13675,673,242325,6880,225521,6858
706,seoul-southeastern,2023-12,5.84,79.66,4.07,244344,6777,230866,6748,14932,951,12859,913,319776,8615,293421,8311
707,busan,2023-12,10.84,81.17,5.72,115443,2584,115276,2525,11643,537,9058,522,158597,3290,147114,3046
708,daegu,2023-12,8.53,84.7,5.51,103791,2766,104714,2785,8508,503,7107,502,124443,3262,121328,3217
709,incheon,2023-12,8.64,86.54,5.42,127119,2672,123234,2492,11357,560,11513,547,148992,3076,146050,2880
710,gwangju,2023-12,7.49,83.33,6.55,76249,1865,76375,1856,6257,418,5416,422,92865,2233,88025,2120
711,daejeon,2023-12,10.58,85.5,7.3,90308,1877,84311,1801,9787,467,9402,465,111937,2224,101744,2111
712,ulsan,2023-12,8.46,83.94,4.58,125523,2581,125818,2631,10844,484,8412,485,152322,3068,149601,3149
713,sejong,2023-12,4.72,92.42,5.59,88099,3271,85799,3361,4198,419,4198,419,95535,3538,91590,3562
714,gyeonggi,2023-12,7.25,86.76,5.1,170526,4176,156616,4002,13201,705,9659,663,210783,4864,179314,4516
715,nationwide,2024-01,8.48,84.43,5.27,178218,4906,168987,4780,16521,770,11285,742,225035,5892,208172,5594
716,metropolitan,2024-01,8.3,84.79,5.16,192849,5371,182363,5238,17946,820,11989,786,241481,6425,222928,6096
717,province,2024-01,9.2,83.04,5.69,120973,3088,116655,2991,10946,574,8532,568,160692,3807,150441,3627
718,seoul,2024-01,9.3,84.46,4.78,221051,6884,211446,6710,22817,889,13749,855,276798,8236,252592,7667
719,seoul-downtown,2024-01,7.54,77.91,4.2,259659,7568,252758,6897,20152,1064,13746,1040,363239,9953,330019,9015
720,seoul-northeastern,2024-01,9.43,86.16,5.14,172285,6413,160374,6262,17163,743,13166,710,203438,7411,190088,7012
721,seoul-northwestern,2024-01,9.93,86.69,4.81,201820,6916,186317,6425,20285,814,11631,808,243031,7955,215108,7166
722,seoul-southwestern,2024-01,11.69,85.78,4.89,205102,6409,191987,6496,30811,776,14219,746,253029,7521,227029,7303
723,seoul-southeastern,2024-01,5.92,82.66,4.57,270981,7638,270043,7384,16333,1126,14425,1066,343730,9355,320583,8387
724,busan,2024-01,9.76,82.03,5.41,126581,3262,119485,3143,11737,577,8352,572,174079,4100,158700,3879
725,daegu,2024-01,7.15,85.68,5.84,120416,3038,120074,3011,9092,601,8429,590,149836,3564,154311,3613
726,incheon,2024-01,8.87,84.02,5.7,140650,3170,138026,3238,12568,669,10894,650,171471,3798,163212,3854
727,gwangju,2024-01,7.86,83.49,6.1,105940,2595,110677,2551,9126,545,8927,540,132817,3124,130755,2901
728,daejeon,2024-01,11.42,86.32,7.54,101796,2355,101257,2201,12090,556,9341,550,123572,2742,118458,2513
729,ulsan,2024-01,7.62,83.34,5.32,117651,2921,116039,2899,9253,563,9621,555,144356,3493,140185,3457
730,sejong,2024-01,6.05,86.15,6.3,97749,3522,93146,3403,6064,552,5898,547,118063,4101,111110,3869
731,gyeonggi,2024-01,7.09,85.4,5.35,183448,4649,169240,4485,15009,806,10620,767,231384,5558,214777,5332
